timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
14.655642,0.580259,0.726222,-9.531809,0.033445,-0.090255,-0.031307
14.660197,0.580259,0.726222,-9.531809,0.033445,-0.090255,-0.031307
14.664901,0.580259,0.726222,-9.531809,0.033750,-0.094073,-0.033445
14.669453,0.611366,0.710668,-9.546166,0.033750,-0.094073,-0.033445
14.673855,0.611366,0.710668,-9.546166,0.033750,-0.094073,-0.033445
14.678305,0.605384,0.735793,-9.541380,0.036805,-0.097586,-0.034208
14.682917,0.605384,0.735793,-9.541380,0.036805,-0.097586,-0.034208
14.687339,0.561117,0.709472,-9.540184,0.037110,-0.097738,-0.035583
14.691690,0.561117,0.709472,-9.540184,0.037110,-0.097738,-0.035583
14.696058,0.624527,0.742971,-9.530612,0.036194,-0.095600,-0.037415
14.700408,0.624527,0.742971,-9.530612,0.036194,-0.095600,-0.037415
14.704904,0.624527,0.742971,-9.530612,0.032376,-0.085827,-0.033903
14.709632,0.602991,0.727418,-9.549755,0.032376,-0.085827,-0.033903
16.716441,0.656830,0.741775,-9.509077,0.034056,-0.093615,-0.032070
16.721297,0.656830,0.741775,-9.509077,0.037415,-0.100640,-0.034819
16.726070,0.589831,0.673580,-9.574880,0.037415,-0.100640,-0.034819
16.730747,0.589831,0.673580,-9.574880,0.037415,-0.100640,-0.035736
16.735643,0.544367,0.715454,-9.600004,0.036652,-0.097280,-0.035736
16.740501,0.544367,0.715454,-9.600004,0.036652,-0.097280,-0.035736
16.745446,0.643669,0.727418,-9.522238,0.031612,-0.088270,-0.036346
16.750254,0.643669,0.727418,-9.522238,0.031612,-0.088270,-0.036346
16.754821,0.661615,0.745364,-9.555737,0.032987,-0.081856,-0.041692
16.759799,0.661615,0.745364,-9.555737,0.032987,-0.081856,-0.041692
16.764394,0.592224,0.795614,-9.543773,0.027642,-0.072998,-0.045357
16.768930,0.592224,0.795614,-9.543773,0.027642,-0.072998,-0.045357
16.773694,0.630509,0.780060,-9.476774,0.029169,-0.076511,-0.045662
18.780484,0.630509,0.646062,-9.538987,0.033903,-0.091630,-0.034208
18.785257,0.630509,0.646062,-9.538987,0.033903,-0.091630,-0.034208
18.790128,0.619741,0.623330,-9.572487,0.034667,-0.091935,-0.036499
18.794681,0.619741,0.623330,-9.572487,0.034667,-0.091935,-0.036499
18.799403,0.619741,0.658026,-9.529416,0.034514,-0.092088,-0.036499
18.804041,0.619741,0.658026,-9.529416,0.034514,-0.092088,-0.036499
18.809416,0.624527,0.673580,-9.562916,0.036194,-0.094226,-0.036805
18.813969,0.624527,0.673580,-9.562916,0.036194,-0.094226,-0.036805
18.818655,0.643669,0.653241,-9.554541,0.036652,-0.096059,-0.036805
18.823284,0.643669,0.653241,-9.554541,0.036652,-0.096059,-0.036805
18.828032,0.643669,0.653241,-9.554541,0.034208,-0.090255,-0.035277
18.832714,0.654437,0.672383,-9.524630,0.034208,-0.090255,-0.035277
18.837384,0.654437,0.672383,-9.524630,0.034208,-0.083536,-0.032834
18.842564,0.625723,0.642473,-9.541380,0.031612,-0.083536,-0.032834
18.847312,0.625723,0.642473,-9.541380,0.031612,-0.088270,-0.034514
18.851837,0.656830,0.654437,-9.527023,0.033139,-0.088270,-0.034514
18.856973,0.656830,0.654437,-9.527023,0.033139,-0.088270,-0.034514
18.861529,0.643669,0.655633,-9.574880,0.036957,-0.094531,-0.038179
18.866012,0.643669,0.655633,-9.574880,0.036957,-0.094531,-0.038179
18.870488,0.630509,0.654437,-9.578469,0.038332,-0.096669,-0.036805
18.874924,0.630509,0.654437,-9.578469,0.038332,-0.096669,-0.036805
18.879360,0.624527,0.666401,-9.505488,0.037874,-0.097738,-0.038790
